Date	Time	CongHt
10/9/15	16:00	15.93
10/9/15	16:15	15.91
10/9/15	16:30	15.9
10/9/15	16:45	15.89
10/9/15	17:00	15.87
10/9/15	17:15	15.87
10/9/15	17:30	15.86
10/9/15	17:45	15.85
10/9/15	18:00	15.84
10/9/15	18:15	15.82
10/9/15	18:30	15.8
10/9/15	18:45	15.81
10/9/15	19:00	15.79
10/9/15	19:15	15.78
10/9/15	19:30	15.77
10/9/15	19:45	15.76
10/9/15	20:00	15.75
10/9/15	20:15	15.73
10/9/15	20:30	15.74
10/9/15	20:45	15.73
10/9/15	21:00	15.72
10/9/15	21:15	15.71
10/9/15	21:30	15.7
10/9/15	21:45	15.69
10/9/15	22:00	15.68
10/9/15	22:15	15.67
10/9/15	22:30	15.67
10/9/15	22:45	15.66
10/9/15	23:00	15.65
10/9/15	23:15	15.64
10/9/15	23:30	15.63
10/9/15	23:45	15.62
10/10/15	0:00	15.62
10/10/15	0:15	15.61
10/10/15	0:30	15.59
10/10/15	0:45	15.6
10/10/15	1:00	15.57
10/10/15	1:15	15.57
10/10/15	1:30	15.56
10/10/15	1:45	15.55
10/10/15	2:00	15.55
10/10/15	2:15	15.54
10/10/15	2:30	15.53
10/10/15	2:45	15.52
10/10/15	3:00	15.51
10/10/15	3:15	15.51
10/10/15	3:30	15.5
10/10/15	3:45	15.48
10/10/15	4:00	15.48
10/10/15	4:15	15.48
10/10/15	4:30	15.46
10/10/15	4:45	15.46
10/10/15	5:00	15.44
10/10/15	5:15	15.44
10/10/15	5:30	15.43
10/10/15	5:45	15.42
10/10/15	6:00	15.41
10/10/15	6:15	15.41
10/10/15	6:30	15.41
10/10/15	6:45	15.39
10/10/15	7:00	15.39
10/10/15	7:15	15.38
10/10/15	7:30	15.36
10/10/15	7:45	15.37
10/10/15	8:00	15.36
10/10/15	8:15	15.35
10/10/15	8:30	15.35
10/10/15	8:45	15.35
10/10/15	9:00	15.35
10/10/15	9:15	15.35
10/10/15	9:30	15.34
10/10/15	9:45	15.33
10/10/15	10:00	15.34
10/10/15	10:15	15.34
10/10/15	10:30	15.34
10/10/15	10:45	15.35
10/10/15	11:00	15.35
10/10/15	11:15	15.34
10/10/15	11:30	15.35
10/10/15	11:45	15.35
10/10/15	12:00	15.35
10/10/15	12:15	15.35
10/10/15	12:30	15.35
10/10/15	12:45	15.35
10/10/15	13:00	15.34
10/10/15	13:15	15.35
10/10/15	13:30	15.35
10/10/15	13:45	15.35
10/10/15	14:00	15.36
10/10/15	14:15	15.36
10/10/15	14:30	15.34
10/10/15	14:45	15.36
10/10/15	15:00	15.36
10/10/15	15:15	15.35
10/10/15	15:30	15.36
10/10/15	15:45	15.37
10/10/15	16:00	15.36
10/10/15	16:15	15.37
10/10/15	16:30	15.39
10/10/15	16:45	15.39
10/10/15	17:00	15.4
10/10/15	17:15	15.41
10/10/15	17:30	15.41
10/10/15	17:45	15.41
10/10/15	18:00	15.42
10/10/15	18:15	15.43
10/10/15	18:30	15.43
10/10/15	18:45	15.43
10/10/15	19:00	15.45
10/10/15	19:15	15.44
10/10/15	19:30	15.45
10/10/15	19:45	15.45
10/10/15	20:00	15.47
10/10/15	20:15	15.47
10/10/15	20:30	15.47
10/10/15	20:45	15.48
10/10/15	21:00	15.49
10/10/15	21:15	15.49
10/10/15	21:30	15.49
10/10/15	21:45	15.5
10/10/15	22:00	15.51
10/10/15	22:15	15.52
10/10/15	22:30	15.53
10/10/15	22:45	15.54
10/10/15	23:00	15.55
10/10/15	23:15	15.55
10/10/15	23:30	15.56
10/10/15	23:45	15.57
10/11/15	0:00	15.57
10/11/15	0:15	15.58
10/11/15	0:30	15.59
10/11/15	0:45	15.59
10/11/15	1:00	15.6
10/11/15	1:15	15.59
10/11/15	1:30	15.6
10/11/15	1:45	15.62
10/11/15	2:00	15.61
10/11/15	2:15	15.62
10/11/15	2:30	15.63
10/11/15	2:45	15.62
10/11/15	3:00	15.63
10/11/15	3:15	15.63
10/11/15	3:30	15.65
10/11/15	3:45	15.64
10/11/15	4:00	15.64
10/11/15	4:15	15.65
10/11/15	4:30	15.66
10/11/15	4:45	15.66
10/11/15	5:00	15.67
10/11/15	5:15	15.68
10/11/15	5:30	15.67
10/11/15	5:45	15.68
10/11/15	6:00	15.68
10/11/15	6:15	15.69
10/11/15	6:30	15.7
10/11/15	6:45	15.71
10/11/15	7:00	15.71
10/11/15	7:15	15.71
10/11/15	7:30	15.72
10/11/15	7:45	15.73
10/11/15	8:00	15.74
10/11/15	8:15	15.74
10/11/15	8:30	15.75
10/11/15	8:45	15.76
